Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 48,Question 49,Question 50,Question 51,Question 52,Question 53,Question 54,Question 55,Question 56,Question 57,Question 58,Question 59,Question 60,Question 61,Question 62,Question 63,Question 64,Question 65,Question 66,Question 67,Question 68,Question 69,Question 70,Question 71,Question 72,Question 73,Question 74,Question 75,Question 76,Question 77,Question 78,Question 79,Question 80,Question 81,Question 82,Question 83,Question 84,Question 85,Question 86,Question 87,Question 88,Question 89,Question 90,Question 91,Question 92,Question 93,Question 94,Question 95,Question 96,Question 97,Question 98,Question 99,Question 100,Question 101,Question 102,Question 103,Question 104,Question 105,Question 106,Question 107,Question 108,Question 109,Question 110,Question 111,Question 112,Question 113,Question 114,Question 115,Question 116,Question 117,Question 118
36,Male,Mexico,nan,No,Yes,No,1-5,No,No,No,Maybe,Yes,Yes,Yes,No,Somewhat easy,Yes,Yes,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",Maybe,Very open,nan,No,No,No,Never,Sometimes,Mexico,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,"No, at none of my previous employers",None did,None of them,"Yes, I think it would","No, I don't think they would",nan,nan,DevOps/SysAdmin,Sometimes
28,Male,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,Maybe,nan,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of my previous employers,Maybe,Somewhat open,Yes,Yes,Maybe,Yes,Rarely,Often,United States of America,Michigan,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,Some of them,Some of them,Some of my previous employers,Some did,Some of them,Maybe,Maybe,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Front-end Developer,Never
36,Male,United States of America,Michigan,No,No,Yes,26-100,Yes,Yes,I don't know,No,nan,I am not sure,I don't know,I don't know,Somewhat easy,Maybe,Yes,nan,nan,Yes,Some did,"No, I only became aware later",Some did,None did,"Yes, always",Some of my previous employers,No,Somewhat open,nan,Yes,Yes,Yes,Sometimes,Often,United States of America,Michigan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Front-end Developer,Sometimes
37,Female,United States of America,California,No,Yes,Yes,500-1000,Yes,Yes,I don't know,No,nan,Yes,No,I don't know,Neither easy nor difficult,Maybe,No,nan,nan,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Yes,Somewhat not open,No,Maybe,Maybe,Yes,Sometimes,Often,United States of America,California,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,I don't know,Some of them,Some of my previous employers,I don't know,Some of them,Maybe,Maybe,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Executive Leadership,Sometimes
29,Male,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,No,nan,I am not sure,No,Yes,Very easy,Yes,Yes,nan,nan,Yes,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of my previous employers,No,Very open,nan,Yes,Maybe,No,Never,Often,United States of America,Michigan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,Some of my previous employers,Some did,None of them,"No, I don't think it would","No, I don't think they would",nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Front-end Developer,Sometimes
25,Male,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,No,nan,Yes,I don't know,Yes,Very easy,Yes,Yes,nan,nan,Yes,Some did,"No, I only became aware later",Some did,Some did,Sometimes,Some of my previous employers,No,Somewhat open,No,Yes,Yes,Yes,Rarely,Often,United States of America,Michigan,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,Some of my previous employers,Some did,Some of them,"No, I don't think it would","No, I don't think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,DevOps/SysAdmin,Sometimes
34,Female,United States of America,Michigan,No,No,No,26-100,Yes,Yes,Yes,No,nan,No,Yes,Yes,Neither easy nor difficult,Maybe,Yes,nan,nan,Yes,I don't know,N/A (not currently aware),Some did,Some did,I don't know,"No, at none of my previous employers",No,Somewhat open,Yes,No,No,No,Not applicable to me,Not applicable to me,United States of America,Michigan,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,"Yes, all of them",Some of them,"No, at none of my previous employers",None did,Some of them,"Yes, I think it would","Yes, I think they would",nan,nan,Supervisor/Team Lead,Sometimes
37,Male,Canada,nan,No,No,Yes,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,nan,nan,Yes,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,Maybe,Very open,Maybe,No,No,No,Sometimes,Not applicable to me,Canada,nan,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,Yes,nan,nan,I don't know,Some of them,Some of my previous employers,None did,Some of them,"Yes, I think it would",Maybe,nan,nan,Support,Sometimes
40,Female,United States of America,Washington,No,Yes,Yes,More than 1000,Yes,Yes,I don't know,No,nan,Yes,No,Yes,Neither easy nor difficult,Maybe,Yes,nan,nan,Yes,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of my previous employers,No,Somewhat open,Maybe,Yes,Yes,Yes,Never,Often,United States of America,Washington,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,Some of them,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Executive Leadership,Sometimes
32,Male,United States of America,Texas,No,No,No,100-500,Yes,Yes,I don't know,No,nan,Yes,Yes,Yes,Somewhat difficult,Maybe,No,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,No,Some of my previous employers,No,Very open,No,Maybe,Maybe,No,Not applicable to me,Sometimes,United States of America,Texas,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,Some of them,Some of them,Some of my previous employers,None did,None of them,"Yes, I think it would","Yes, I think they would",nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",DevOps/SysAdmin,Always
38,Male,United Kingdom,nan,No,No,No,26-100,Yes,I don't know,I don't know,No,nan,No,No,No,Somewhat easy,Maybe,Maybe,nan,nan,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,Maybe,Somewhat open,Yes,Maybe,No,No,Not applicable to me,Not applicable to me,United Kingdom,nan,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,I don't know,None of them,Some of my previous employers,I don't know,Some of them,"Yes, I think it would",Maybe,nan,nan,Back-end Developer,Never
31,Female,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,I don't know,No,nan,I am not sure,Yes,I don't know,Somewhat difficult,Maybe,Maybe,nan,nan,Yes,Some did,I was aware of some,None did,Some did,I don't know,Some of my previous employers,Maybe,Somewhat open,No,Yes,Yes,Yes,Sometimes,Often,United States of America,Michigan,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,Some of them,Some of my previous employers,None did,Some of them,Maybe,"No, I don't think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Front-end Developer,Sometimes
28,Female,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,Maybe,nan,Yes,I don't know,Yes,Very easy,Yes,Yes,nan,nan,Yes,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of my previous employers,Maybe,Somewhat open,No,No,No,No,Sometimes,Often,United States of America,Michigan,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,"No, at none of my previous employers",Some did,Some of them,Maybe,"No, I don't think they would",nan,nan,Other,Sometimes
27,Female,United Kingdom,nan,No,Yes,Yes,100-500,Yes,No,I don't know,No,nan,No,No,No,Very difficult,No,No,nan,nan,Yes,Some did,I was aware of some,None did,Some did,I don't know,"No, at none of my previous employers",Yes,Somewhat not open,Yes,Yes,Yes,Yes,Often,Often,United Kingdom,nan,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,nan,nan,"Yes, all of them",Some of them,"No, at none of my previous employers",None did,"Yes, all of them","Yes, it has","No, I don't think they would","Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Other,Sometimes
28,Female,United States of America,Michigan,No,No,Yes,26-100,Yes,Yes,Yes,No,nan,Yes,No,Yes,Somewhat easy,Maybe,Maybe,nan,nan,Yes,Some did,I was aware of some,None did,None did,I don't know,"No, at none of my previous employers",Maybe,Somewhat not open,Yes,Yes,Yes,Yes,Sometimes,Often,United States of America,Michigan,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,Some of them,Some of them,Some of my previous employers,None did,Some of them,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Front-end Developer,Sometimes
26,Male,Germany,nan,No,Yes,Yes,6-25,Yes,I don't know,I don't know,Maybe,nan,Yes,No,No,Somewhat easy,No,Maybe,nan,nan,Yes,Some did,"Yes, I was aware of all of them",None did,None did,"Yes, always",Some of my previous employers,No,Somewhat not open,nan,Yes,Yes,Yes,Never,Often,Germany,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,Some of them,None of them,"No, at none of my previous employers",Some did,None of them,Maybe,"No, I don't think they would","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Front-end Developer,Always
40,Male,United States of America,Michigan,No,Yes,Yes,26-100,Yes,Yes,Yes,Yes,nan,Yes,Yes,Yes,Very easy,Yes,Yes,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of my previous employers,Yes,Very open,nan,Yes,No,No,Rarely,Often,United States of America,Michigan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,Some of my previous employers,Some did,None of them,Maybe,"No, I don't think they would",nan,nan,Support,Sometimes
42,Male,United States of America,Washington,No,No,Yes,More than 1000,Yes,Yes,Yes,Maybe,nan,Yes,Yes,Yes,Somewhat easy,Yes,Yes,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of my previous employers,Maybe,Somewhat open,Maybe,Yes,Yes,Yes,Sometimes,Often,United States of America,Washington,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,Some of them,Some of my previous employers,None did,Some of them,Maybe,"No, I don't think they would","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Dev Evangelist/Advocate,Sometimes
36,Male,United States of America,Michigan,No,I don't know,No,26-100,Yes,Yes,I don't know,No,nan,I am not sure,I don't know,Yes,Very easy,Maybe,Maybe,nan,nan,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,No,Neutral,nan,No,No,No,Not applicable to me,Not applicable to me,United States of America,Michigan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,Some of my previous employers,I don't know,None of them,Maybe,"No, I don't think they would",nan,nan,Front-end Developer,Never
44,Male,United Kingdom,nan,Yes,Yes,No,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,No,I know some,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",Maybe,Very open,Yes,Maybe,Maybe,No,Sometimes,Sometimes,United Kingdom,nan,"No, because it would impact me negatively","No, because it would impact me negatively",Unsure,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not applicable to me,Some of them,Some of them,Some of my previous employers,Some did,None of them,"Yes, I think it would","Yes, I think they would",nan,"Psychotic Disorder (Schizophrenia, Schizoaffective, etc)",Front-end Developer,Never
24,Male,United States of America,Michigan,No,I don't know,Yes,500-1000,Yes,Yes,I don't know,No,nan,Yes,No,No,Very difficult,Maybe,Maybe,nan,nan,No,nan,nan,nan,nan,nan,nan,Yes,Somewhat open,nan,Maybe,Yes,Yes,Sometimes,Often,United States of America,Michigan,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Back-end Developer,Never
44,Male,United States of America,Kansas,No,I don't know,Yes,100-500,No,I don't know,I don't know,Maybe,Yes,I am not sure,No,Yes,Very difficult,No,Maybe,nan,nan,Yes,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always","Yes, at all of my previous employers",Yes,Not open at all,Maybe,Maybe,Maybe,No,Not applicable to me,Sometimes,United States of America,Kansas,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,nan,nan,I don't know,None of them,"No, at none of my previous employers",None did,None of them,"Yes, I think it would","Yes, I think they would",nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Supervisor/Team Lead,Never
31,Male,United States of America,Washington,No,No,Yes,More than 1000,Yes,Yes,I don't know,Maybe,nan,I am not sure,I don't know,I don't know,Neither easy nor difficult,Yes,No,nan,nan,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,I don't know,Some of my previous employers,Maybe,Somewhat open,nan,No,Yes,Yes,Never,Sometimes,United States of America,Washington,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,Some of my previous employers,Some did,None of them,"No, I don't think it would","No, I don't think they would","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Dev Evangelist/Advocate,Always
49,Male,United States of America,Washington,Yes,Yes,Yes,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,No,I know some,Yes,"No, none did","No, I only became aware later",None did,None did,I don't know,Some of my previous employers,Yes,Very open,Yes,Yes,Maybe,No,Sometimes,Often,United States of America,Washington,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,26-50%,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,Yes,Some of them,None of them,"No, at none of my previous employers",Some did,Some of them,"Yes, it has","Yes, they do",nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",One-person shop,Sometimes
27,Female,United States of America,California,No,Yes,No,26-100,Yes,Yes,Yes,Maybe,nan,No,Yes,I don't know,Very difficult,Maybe,No,nan,nan,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,Maybe,Somewhat open,No,No,No,No,Not applicable to me,Not applicable to me,United States of America,California,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,I don't know,None of them,Some of my previous employers,I don't know,None of them,Maybe,Maybe,nan,nan,Back-end Developer,Sometimes
27,Male,United States of America,Florida,No,Yes,Yes,More than 1000,Yes,Yes,I don't know,No,nan,I am not sure,I don't know,Yes,Somewhat easy,No,Maybe,nan,nan,Yes,Some did,I was aware of some,None did,None did,No,Some of my previous employers,Maybe,Not open at all,nan,Maybe,No,No,Not applicable to me,Sometimes,United States of America,Florida,nan,nan,nan,nan,"Yes, I observed",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,Some of them,None of them,Some of my previous employers,Some did,None of them,"Yes, I think it would",Maybe,nan,nan,Supervisor/Team Lead,Always
28,Male,United States of America,California,No,No,Yes,100-500,Yes,Yes,I don't know,No,nan,Yes,No,No,I don't know,Maybe,Maybe,nan,nan,Yes,"No, none did",N/A (not currently aware),None did,None did,I don't know,"No, at none of my previous employers",No,Not applicable to me (I do not have a mental illness),nan,Yes,No,Yes,Not applicable to me,Not applicable to me,United States of America,California,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,I don't know,Some of them,Some of my previous employers,I don't know,None of them,"No, I don't think it would","No, I don't think they would",nan,nan,Supervisor/Team Lead,Sometimes
20,Female,United States of America,California,No,Yes,Yes,6-25,Yes,Yes,I don't know,No,nan,Yes,No,No,Very difficult,No,No,nan,nan,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"No, at none of my previous employers",No,Somewhat open,nan,Yes,Maybe,Yes,Rarely,Sometimes,United States of America,California,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,"Yes, all of them",None of them,Some of my previous employers,Some did,Some of them,"Yes, it has","Yes, I think they would",nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",Back-end Developer,Never
41,Male,Germany,nan,Yes,Yes,No,nan,nan,nan,nan,Maybe,nan,nan,nan,nan,nan,nan,nan,Yes,"No, I don't know any",Yes,"Yes, they all did",N/A (not currently aware),None did,None did,I don't know,Some of my previous employers,Maybe,Somewhat open,nan,No,No,No,Not applicable to me,Not applicable to me,Germany,nan,Not applicable to me,Not applicable to me,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not applicable to me,I don't know,None of them,Some of my previous employers,I don't know,None of them,Maybe,Maybe,nan,nan,Back-end Developer,Always
38,Male,Australia,nan,No,I don't know,Yes,100-500,No,No,I don't know,No,Yes,nan,No,Yes,Neither easy nor difficult,Maybe,Maybe,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of my previous employers,No,Somewhat not open,nan,Yes,Yes,Yes,Sometimes,Not applicable to me,Australia,nan,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,Some of them,None of them,Some of my previous employers,None did,Some of them,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Back-end Developer,Sometimes
29,Male,United States of America,California,No,Yes,No,100-500,Yes,I don't know,I don't know,No,nan,No,No,I don't know,Somewhat difficult,No,No,nan,nan,Yes,Some did,I was aware of some,Some did,Some did,I don't know,"No, at none of my previous employers",No,Somewhat not open,No,Yes,Yes,No,Sometimes,Sometimes,United States of America,California,nan,nan,nan,nan,Maybe/Not sure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,I don't know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,No,nan,nan,Some of them,Some of them,"No, at none of my previous employers",Some did,Some of them,Maybe,"Yes, I think they would","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,Other,Never
44,Female,United States of America,Oregon,No,Yes,Yes,100-500,Yes,Yes,I don't know,No,nan,No,No,No,Very easy,Maybe,Maybe,nan,nan,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",Some of my previous employers,Yes,Somewhat open,Yes,Yes,Yes,Yes,Sometimes,Often,United States of America,Oregon,nan,nan,nan,nan,"Yes, I experienced",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Maybe,Yes,nan,nan,Some of them,None of them,Some of my previous employers,Some did,Some of them,"Yes, it has",Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,Supervisor/Team Lead,Always
